"name"                     ,"birth_date" ,"location"              ,"country"            ,"type"    ,"genre"
Gaspar Benegas             ,"1978-01-07" ,El Bolsón               ,Argentina            ,invitado  ,Hombre
Fantino                    ,"1971-09-26" ,San Vicente             ,Argentina            ,invitado  ,Hombre
Gonzalo Heredia            ,"1982-03-12" ,Munro                   ,Argentina            ,invitado  ,Hombre
Sebastián Varela del Río   ,"1987-06-11" ,Mataderos               ,Argentina            ,invitado  ,Hombre
Javier Lanza               ,"1.0"        ,Luis Guillón            ,Argentina            ,invitado  ,Hombre
Ima Rodriguez              ,"1996-03-05" ,?                       ,Argentina            ,invitado  ,Hombre
Diego Latorre              ,"1969-08-04" ,Belgrano                ,Argentina            ,invitado  ,Hombre
Valentin Torres Erwerle    ,"2004-12-08" ,?                       ,Argentina            ,invitado  ,Hombre
Julián Kartun              ,"1983-11-07" ,Villa Crespo            ,Argentina            ,invitado  ,Hombre
Hilda Lizarazu             ,"1963-10-12" ,Curuzú Cuatiá           ,Argentina            ,invitado  ,Mujer
Violeta Urtizberea         ,"1985-02-19" ,?                       ,Argentina            ,invitado  ,Mujer
Elio Rossi                 ,"1963-05-04" ,Bell Ville              ,Argentina            ,invitado  ,Hombre
Nicolás Laprovittola       ,"1990-01-31" ,Morón                   ,Argentina            ,invitado  ,Hombre
Florian                    ,"1995-05-11" ,Boedo                   ,Argentina            ,invitado  ,Hombre
Carlos Maslatón            ,"1958-12-19" ,Villa Santa Rita        ,Argentina            ,invitado  ,Hombre
RusherKing                 ,"2000-05-20" ,Santiago del Estero     ,Argentina            ,invitado  ,Hombre
Goycoechea                 ,"1963-10-17" ,Zárate                  ,Argentina            ,invitado  ,Hombre
Zambayonny                 ,"1973-09-08" ,CABA                    ,Argentina            ,invitado  ,Hombre
Piti Fernández             ,"1982-11-14" ,Caballito               ,Argentina            ,invitado  ,Hombre
Diego Ripoll               ,"1974-01-13" ,Ramos Mejía             ,Argentina            ,invitado  ,Hombre
Benjamín Amadeo            ,"1984-04-22" ,?                       ,Argentina            ,invitado  ,Hombre
Clemente Cancela           ,"1977-10-10" ,Caballito               ,Argentina            ,invitado  ,Hombre
Luis Rubio                 ,"1965-11-19" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Juariu                     ,"1986-01-11" ,Tucumán                 ,Argentina            ,invitado  ,Mujer
Peto Menahem               ,"1970-02-28" ,?                       ,Argentina            ,invitado  ,Hombre
Huevo Rondina              ,"1971-11-03" ,San Antonio de Padua    ,Argentina            ,invitado  ,Hombre
Hernán Casciari            ,"1971-03-16" ,Mercedes                ,Argentina            ,invitado  ,Hombre
Gastón Sardelli (Airbag)   ,"1984-04-18" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Patricio Sardelli (Airbag) ,"1986-01-26" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Guido Sardelli (Airbag)    ,"1988-12-05" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Chino Leunis               ,"1980-09-09" ,Ramos Mejía             ,Argentina            ,invitado  ,Hombre
Emmanuel Horvilleur        ,"1975-01-02" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Sebastián De Caro          ,"1975-12-15" ,San Telmo               ,Argentina            ,invitado  ,Hombre
Delfina Pignatello         ,"2000-04-19" ,San Isidro              ,Argentina            ,invitado  ,Mujer
Nati Carulias              ,"1975-10-19" ,Lugano                  ,Argentina            ,invitado  ,Mujer
Leo Gabes                  ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Adrián Lacroix             ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
